x,y,z,
103.134750,409.345795,0,
141.698257,573.165894,0,
168.885880,722.593933,0,
170.651779,727.561279,0,
192.054535,521.020630,0,
192.054535,521.020630,0,
196.478455,522.144897,0,
212.105865,561.471680,0,
216.883423,581.670715,0,
262.848785,538.707520,0,
263.642975,566.111938,0,
267.215698,552.316528,0,
279.421783,591.787903,0,
306.801544,540.953064,0,
308.560272,618.123779,0,
313.205536,560.689209,0,
315.525787,541.105469,0,
323.124329,544.495605,0,
392.388947,602.648254,0,
400.954254,618.469177,0,
401.553436,621.621094,0,
403.081940,624.875488,0,
403.473206,474.142273,0,
406.533813,624.681458,0,
423.257660,437.952393,0,
425.254700,599.061096,0,
426.512817,417.027344,0,
434.238953,477.535217,0,
